feature,mean_shap,mean_abs_shap,std_shap,shap_positive_pct
contract_tenure_interaction,-0.041101400586173654,0.6916882367062946,0.7988133597055775,35.0
internet_service_level,0.05148843269224928,0.6880066100218417,0.7930779868238409,43.6
total_charges_log,-0.004456385663799741,0.6515157586843148,0.8023775375866342,41.0
contract_length_score,0.01861430676129925,0.5745119638807387,0.6265402375975003,56.89999999999999
avg_monthly_spend,-0.029444574082502485,0.5133960505433603,0.5883937143280731,43.7
monthly_charges,-0.029444574082502485,0.5133960505433603,0.5883937143280731,43.7
tenure_sqrt,-0.024120262368511662,0.4956141779562538,0.5608029645834498,50.0
tenure_risk_score,0.020744895306268888,0.3579233846530523,0.3981900310080266,54.7
tenure_years,0.020744895306268506,0.35792338465304574,0.39819003100801936,54.7
overall_risk_score,0.010334132874346145,0.29656686326637216,0.3193380431868026,56.599999999999994
tenure_charges_interaction,0.006824584217993152,0.25505555741250957,0.3049549813148156,63.3
streaming_service_count,0.0034839398804886786,0.22390120298607194,0.24569258901978386,48.0
InternetService_Fiber optic,0.007266710604028676,0.2224340115893176,0.22532943859531823,43.6
has_internet,0.020543273597136286,0.21599784810703204,0.2452228705963541,77.5
tenure_bucket,-0.010775511964673872,0.20510938359095973,0.2397796700747069,38.7
InternetService_DSL,-0.00871993087280791,0.20287148647452694,0.21735882407634496,66.10000000000001
lifecycle_stage,0.016453977706459854,0.20019294875801724,0.22800339440874706,47.3
Contract_Two year,0.021498192677693588,0.18342631874219958,0.2008247273705708,75.6
services_charges_interaction,0.00819493420104666,0.16943543780396164,0.20769387420624422,45.300000000000004
has_multiple_lines,-0.001020870192229343,0.1631350567182473,0.16657907030682312,39.7
early_termination_risk,-0.006978087235704387,0.1620178940183212,0.16463763688851568,56.89999999999999
service_count,0.008890313685417999,0.1484594362557027,0.17543677398659643,43.1
spend_volatility,0.02634407318845305,0.11586858079632809,0.9678592219248047,21.5
service_bundle_score,0.01048896178536555,0.11582343064240032,0.13717405072521885,56.10000000000001
monthly_charges_squared,0.00454876281444276,0.11513571140270985,0.13440208742288834,49.8
long_term_customer,-0.0012919394316437027,0.09221863663072781,0.09227418253983087,48.3
streaming_intensity,0.0004114089739342731,0.08595073706723423,0.09525937151664488,47.199999999999996
paperless_billing,0.006721087470987845,0.085761076129805,0.08639090627303794,60.8
Contract_One year,0.02178646917782973,0.08523387016257802,0.12685143406120666,18.7
Dependents_Yes,0.00446473967268016,0.0774543038416553,0.0822651152684653,69.5
PaymentMethod_Mailed check,0.007758653208997655,0.0748530988824989,0.08388960494477835,76.9
OnlineSecurity_No,0.008294283125017067,0.0665040972114271,0.06687946976852778,48.199999999999996
spend_per_tenure,0.00349997277636384,0.06229466494810188,0.07166793517879853,56.39999999999999
OnlineSecurity_Yes,0.0037409330918765733,0.05895156340487564,0.06309238568949346,70.7
payment_risk_score,0.0057902624776546485,0.056059194273456424,0.05745696654711186,56.49999999999999
spend_growth_proxy,-0.03819231815391109,0.05504854636282674,1.1859207922751025,44.0
Partner_No,0.0035815026542854365,0.05234050114298081,0.052624218469116225,47.4
TechSupport_No,0.00206518365565613,0.04902155946054607,0.04916011130836546,48.1
OnlineSecurity_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
InternetService_No,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
StreamingTV_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
OnlineBackup_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
TechSupport_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
DeviceProtection_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
StreamingMovies_No internet service,0.004497311326716796,0.04728601623519374,0.05368392667742743,77.5
PaperlessBilling_No,0.0036882043872611854,0.047061487981452745,0.04740710798826387,60.8
PaymentMethod_Electronic check,0.00808015530522945,0.04589528213370329,0.0515247143068871,33.4
